Unnamed: 0,Title,id,rating,genres,Release year,Overview
5969,High Fidelity,243,R,Drama;Comedy;Romance;Music,2000,"When record store owner and compulsive list-compiler Rob Gordon gets dumped by his long-time girlfriend, Laura, because he hasn't changed since they met, he revisits his top five breakups of all time in order to figure out what went wrong. As he examines his failed attempts at romance and happiness, the process finds him being dragged, kicking and screaming, into adulthood."
5970,Rock Star,12508,R,Music;Drama;Comedy,2001,"A wannabe rock star who fronts a Pennsylvania-based tribute band is devastated when his bandmates kick him out of the group he founded. Things begin to look up for Izzy when he is asked to join Steel Dragon, the heavy metal rockers he had been imitating for so long. This film is loosely based on the true story of the band Judas Priest."
5971,Jersey Girl,9541,PG-13,Comedy;Romance;Drama,2004,"Ollie Trinke is a young, suave music publicist who seems to have it all, with a new wife and a baby on the way. But life deals him a bum hand when he's suddenly faced with single fatherhood, a defunct career and having to move in with his father. To bounce back, it takes a new love and the courage instilled in him by his daughter."
5972,LOL,80271,PG-13,Drama;Comedy;Romance,2012,"In a world connected by YouTube, iTunes, and Facebook, Lola and her friends navigate the peer pressures of high school romance and friendship while dodging their sometimes overbearing and confused parents. When Lola's mom, Anne, ""accidentally"" reads her teenage daughter's racy journal, she realizes just how wide their communication gap has grown."
5973,She Said,837881,R,Drama;History,2022,New York Times reporters Megan Twohey and Jodi Kantor break one of the most important stories in a generation — a story that helped launch the #MeToo movement and shattered decades of silence around the subject of sexual assault in Hollywood.
5974,The Red Pill,366696,R,Documentary,2016,"When a feminist filmmaker sets out to document the mysterious and polarizing world of the Men’s Rights Movement, she begins to question her own beliefs. Chronicling Cassie Jaye’s journey exploring an alternate perspective on gender equality, power and privilege."
5975,Barb Wire,11867,R,Science Fiction;Action;Adventure,1996,"A sexy nightclub owner, Barb Wire moonlights as a mercenary in Steel Harbor, one of the last free zones in the now fascist United States. When scientist Cora Devonshire wanders into Barb's establishment, she gets roped into a top-secret government plot involving biological weapons. Soon Barb is reunited with her old flame Axel Hood, who is now Cora's husband and a guerrilla fighter, resulting in plenty of tense action."
5976,Six Minutes to Midnight,670439,PG-13,Thriller;Drama;History;War,2020,Summer 1939. Influential families in Nazi Germany have sent their daughters to a finishing school in an English seaside town to learn the language and be ambassadors for a future looking National Socialist. A teacher there sees what is coming and is trying to raise the alarm. But the authorities believe he is the problem.
5977,Passion,109099,R,Thriller;Drama;Crime;Mystery,2013,The rivalry between the manipulative boss of an advertising agency and her talented protégée escalates from stealing credit to public humiliation to murder.
5978,The Purple Rose of Cairo,10849,PG,Fantasy;Comedy;Romance,1985,"Cecilia is a waitress in New Jersey, living a dreary life during the Great Depression. Her only escape from her mundane reality is the movie theatre. After losing her job, Cecilia goes to see 'The Purple Rose of Cairo' in hopes of raising her spirits, where she watches dashing archaeologist Tom Baxter time and again."
5979,Freelancers,122800,R,Mystery;Drama;Action;Crime,2012,"The son of a slain NYPD officer joins the force, where he falls in with his father's former partner and a team of rogue cops. His new boss, Sarcone, will see if he has what it takes to be rogue through many trials and tribulations of loyalty, trust and respect. When the truth about his father's death is revealed revenge takes him over and he won't stop until justice has been truly served."
5980,Big Time Adolescence,539617,R,Comedy,2020,"A seemingly bright and mostly innocent 16-year-old named Mo attempts to navigate high school under the guidance of his best friend Zeke, an unmotivated-yet-charismatic college dropout. Although Zeke genuinely cares about Mo, things start to go awry as he teaches Mo nontraditional life lessons in drug dealing, partying, and dating. Meanwhile, Mo’s well-meaning dad tries to step in and take back the reins of his son’s upbringing."
5981,My Awkward Sexual Adventure,128136,R,Comedy;Romance;Drama,2012,A hyper-repressed and schlubby accountant (Jonas Chernick) strikes a deal with a worldly but disorganized stripper (Emily Hampshire): he'll help her with her crushing debt if she helps him become a better lover.
5982,Merry Madagascar,25472,PG,Animation;Family,2009,"The Zoosters are back in an all-new holiday adventure. When Santa and his reindeer crash onto the island of Madagascar it's up to Alex, Marty, Gloria, Melman and those wacky penguins to save Christmas. Get ready for a sleigh full of laughs in this hilarious new holiday classic."
5983,Stomp the Yard,1931,PG-13,Drama;Music,2007,"After the death of his younger brother, a troubled 19-year-old street dancer from Los Angeles is able to bypass juvenile hall by enrolling in the historically black, Truth University in Atlanta, Georgia. But his efforts to get an education and woo the girl he likes are sidelined when he is courted by the top two campus fraternities, both of which want and need his fierce street-style dance moves to win the highly coveted national step show competition."
5984,The Hummingbird Project,489243,R,Thriller;Drama,2019,A pair of high-frequency traders go up against their old boss in an effort to make millions in a fiber-optic cable deal.
5985,Battle of the Sexes,369192,PG-13,Drama;Comedy;History,2017,The true story of the 1973 tennis match between world number one Billie Jean King and ex-champ and serial hustler Bobby Riggs.
5987,7 Seconds,9721,R,Action;Crime;Thriller,2005,"When an experienced thief accidentally makes off with a Van Gogh, his partner is kidnapped by gangsters in pursuit of the painting, forcing the criminal to hatch a rescue plan."
5988,Ransom,3595,R,Action;Thriller,1996,"When a rich man's son is kidnapped, he cooperates with the police at first but then tries a unique tactic against the criminals."
5989,Baby Boy,16161,R,Crime;Drama;Romance;Thriller,2001,"The story of Jody, a misguided, 20-year-old African-American who is really just a baby boy finally forced-kicking and screaming to face the commitments of real life. Streetwise and jobless, he has not only fathered two children by two different women-Yvette and Peanut but still lives with his own mother. He can't seem to strike a balance or find direction in his chaotic life."
5990,Otherhood,531509,R,Comedy,2019,Three suburban moms travel to New York City to visit their sons.
5991,Amina,885110,PG-13,War;History;Drama,2021,"In 16th-century Zazzau, now Zaria, Nigeria, Amina must utilize her military skills and tactics to defend her family's kingdom. Based on a true story."
5992,Straw Dogs,64639,R,Drama;Thriller,2011,A young couple moves to a quaint southern town. Soon their perfect getaway turns out to become a living hell when dark secrets and lethal passions spiral out of control.
5993,Scooby-Doo! and the Samurai Sword,16390,G,Family;Mystery;Animation;Comedy;Action;Fantasy,2009,"The Mystery Inc. gang takes a trip to Japan and finds themselves circling Asia and the Pacific in a treasure hunt, racing against the vengeful Black Samurai and his Ninja warriors to find the legendary Sword of Fate, an ancientblade fabled to possess extraordinary supernaturalpowers."
5994,All Eyez on Me,402529,R,History;Drama;Music,2017,"All Eyez on Me chronicles the life and legacy of Tupac Shakur, including his rise to superstardom as a hip-hop artist, actor, poet and activist, as well as his imprisonment and prolific, controversial time at Death Row Records. Against insurmountable odds, Tupac rose to become a cultural icon whose career and persona both continue to grow long after his passing."
5995,Garfield's Pet Force,19508,G,Animation;Comedy;Family,2009,"Nothing in the world can make Garfield get involved in anything besides eating, until the muscular super cat Garzooka comes crashing into Cartoon World from the Comic Book universe with terrifying news. Garfield summons up the willpower to join his superhero Garzooka in a fight to save their worlds."
5996,OLIVIA RODRIGO: driving home 2 u (a SOUR film),939790,PG-13,Music;Documentary,2022,"Grammy® winner singer-songwriter Olivia Rodrigo takes a familiar road trip from Salt Lake City, where she began writing her debut album “SOUR,” to Los Angeles. Along the way, Rodrigo recounts the memories of writing and creating her record-breaking debut album and shares her feelings as a young woman navigating a specific time in her life. Through new live arrangements of her songs, intimate interviews and never-before-seen footage from the making of the album, audiences will follow Olivia along on a cinematic journey exploring the story of “SOUR.”"
5997,Traitor,13291,PG-13,Drama;Action;Thriller;Crime,2008,"When straight arrow FBI agent Roy Clayton heads up the investigation into a dangerous international conspiracy, all clues seem to lead back to former U.S. Special Operations officer Samir Horn."
5998,Arachnophobia,6488,PG-13,Comedy;Horror,1990,"A large spider from the jungles of South America is accidentally transported in a crate with a dead body to America where it mates with a local spider. Soon after, the residents of a small California town disappear as the result of spider bites from the deadly spider offspring. It's up to a couple of doctors with the help of an insect exterminator to annihilate these eight legged freaks."
5999,Striking Distance,11074,R,Crime;Action;Mystery;Thriller,1993,"Coming from a police family, Tom Hardy ends up fighting his uncle after the murder of his father. Tom believes the killer is another cop, and goes on the record with his allegations. Demoted to water-way duty Tom, along with new partner Jo Christman, navigate the three rivers looking for clues and discovering bodies. This time the victims are women Tom knows, he must find the killer to prove his innocence."
6000,Sudden Death,9091,R,Action;Drama;Thriller,1995,When a man's daughter is suddenly taken during a championship hockey game – with the captors demanding a billion dollars by game's end – he frantically sets a plan in motion to rescue her and abort an impending explosion before the final buzzer.
6001,The Simpsons Meet the Bocellis in Feliz Navidad,1058732,PG,Animation;Family;Comedy,2022,"This Christmas, Homer surprises Marge with the ultimate gift: an unforgettable performance from Italian opera superstar Andrea Bocelli and his children Matteo and Virginia."
6003,First Kill,410554,R,Action;Thriller;Crime,2017,A police chief tries to solve a kidnapping that involves a bank robber holding a young boy hostage.
6004,Downfall: The Case Against Boeing,913862,R,Documentary,2022,Investigators reveal how Boeing’s alleged priority of profit over safety could have contributed to two catastrophic crashes within months of each other.
6005,The Package,503619,R,Comedy,2018,"When a group of teenagers goes on a spring break camping trip, an unfortunate accident sets off a race to save their friend’s most prized possession."
6006,The Painted Veil,14202,PG-13,Romance;Drama,2006,"A British medical doctor fights a cholera outbreak in a small Chinese village, while also being trapped at home in a loveless marriage to an unfaithful wife."
6007,Show Dogs,425148,PG,Adventure;Crime;Family;Comedy,2018,"Max, a macho, solitary Rottweiler police dog is ordered to go undercover as a primped show dog in a prestigious Dog Show, along with his human partner, to avert a disaster from happening."
6008,Better Off Dead...,13667,PG-13,Comedy;Romance,1985,"High school student Lane Meyer sinks into suicidal depression when his girlfriend dumps him for jock Roy Stalin, the high school ski racing champion. Meanwhile, he has to deal with his eccentric family, a tenacious paperboy and an obnoxious neighbor whose mother is hosting a beautiful French exchange student named Monique."
6009,A Boy Called Christmas,615666,PG,Family;Adventure;Fantasy,2021,"An ordinary young boy called Nikolas sets out on an extraordinary adventure into the snowy north in search of his father who is on a quest to discover the fabled village of the elves, Elfhelm. Taking with him a headstrong reindeer called Blitzen and a loyal pet mouse, Nikolas soon meets his destiny in this magical and endearing story that proves nothing is impossible…"
6013,Bad Girls,11853,R,Romance;Western,1994,"Four former harlots try to leave the wild west (Colorado, to be exact) and head north to make a better life for themselves. Unfortunately someone from Cody's past won't let it happen that easily."
6014,"No Retreat, No Surrender 3: Blood Brothers",36884,R,Action;Crime;Drama;Thriller,1990,"Two feuding brothers (one a policeman, the other a martial arts expert) of different political views, join forces to avenge the death of their father, a retired agent, killed by the mafia."
6015,Paint,821890,PG-13,Comedy;Drama;Romance,2023,"Carl Nargle, Vermont’s #1 public television painter, is convinced he has it all: a signature perm, custom van, and fans hanging on his every stroke… until a younger, better artist steals everything (and everyone) Carl loves."
6016,Hesher,44835,R,Drama,2010,A young boy has lost his mother and is losing touch with his father and the world around him. Then he meets Hesher who manages to make his life even more chaotic.
6017,Black Robe,41784,R,Adventure;Drama;History,1991,"Missionary Father LaForgue travels to the New World in hopes of converting Algonquin Indians to Catholicism. Accepted, though warily, by the Indians, LaForgue travels with the Indians using his strict Catholic rules and ideals to try and impose his religion."
6018,White Bird in a Blizzard,157825,R,Thriller;Drama,2014,"In 1988, a teenage girl's life is thrown into chaos when her mother disappears."
6019,The Replacement Killers,11702,R,Action;Crime;Thriller,1998,"Hired assassin John Lee is asked by Chinatown crime boss Terence Wei to murder the young son of policeman Stan Zedkov. Lee has the boy in his sights, but his conscience gets the better of him, and he spares the child's life. Afraid that Wei will take revenge on his family in China, Lee seeks out expert forger Meg Coburn to obtain the passport he needs to get out of the country, but a band of replacement killers is soon on his trail."
6020,Where the Heart Is,10564,PG-13,Comedy;Drama;Romance,2000,"Novalee Nation is a 17-year-old Tennessee transient who has to grow up in a hurry when she's left pregnant and abandoned by her boyfriend on a roadside, and takes refuge in the friendly aisles of Wal-Mart. Eventually, some eccentric but kindly strangers 'adopt' Novalee and her infant daughter, helping them buck the odds and build a new life."
6021,Bitconned,1213997,R,Documentary;Crime,2024,"In this true-crime documentary, three guys exploit the freewheeling cryptocurrency market to scam millions from investors and bankroll lavish lifestyles."
6022,In the Cut,10944,R,Drama;Mystery;Thriller,2003,"Following the gruesome murder of a young woman in her neighborhood, an English teacher living in New York City — as if to test the limits of her own safety —propels herself into an impossibly risky sexual liaison with a police detective."
6023,My Best Friend's Wedding,8874,PG-13,Comedy;Romance,1997,"When she receives word that her longtime platonic pal Michael O'Neal is getting married to debutante Kimberly Wallace, food critic Julianne Potter realizes her true feelings for Michael -- and sets out to sabotage the wedding."
6024,Jackass Presents: Bad Grandpa,208134,R,Comedy,2013,"86-year-old Irving Zisman is on a journey across America with the most unlikely companion: his 8 year-old grandson, Billy."
6025,Glory Road,9918,PG,Drama;History,2006,"In 1966, Texas Western coach Don Haskins led the first all-black starting line-up for a college basketball team to the NCAA national championship."
6026,Glory Road,9918,PG,Drama;History,2006,"In 1966, Texas Western coach Don Haskins led the first all-black starting line-up for a college basketball team to the NCAA national championship."
6027,My Life in Ruins,23049,PG-13,Comedy;Romance,2009,"A Greek tour guide named Georgia attempts to recapture her kefi (Greek for mojo) by guiding a ragtag group of tourists around Greece and showing them the beauty of her native land. Along the way, she manages to open their eyes to the wonders of an exotic foreign land while beginning to see the world through a new set of eyes in the process."
6028,For the Birds,13930,G,Animation;Family;Comedy,2000,"One by one, a flock of small birds perches on a telephone wire. Sitting close together has problems enough, and then comes along a large dopey bird that tries to join them. The birds of a feather can't help but make fun of him - and their clique mentality proves embarrassing in the end."
6029,Internal Affairs,11060,R,Crime;Drama,1990,"Keen young Raymold Avila joins the Internal Affairs Department of the Los Angeles police. He and partner Amy Wallace are soon looking closely at the activities of cop Dennis Peck whose financial holdings start to suggest something shady. Indeed Peck is involved in any number of dubious or downright criminal activities. He is also devious, a womaniser, and a clever manipulator, and he starts to turn his attention on Avila."
6030,Capote,398,R,Crime;Drama,2005,"A biopic of writer Truman Capote and his assignment for The New Yorker to write the non-fiction book ""In Cold Blood""."
6031,One Missed Call,6933,PG-13,Horror;Mystery;Thriller,2008,"Several people start receiving voice-mails from their future selves -- messages which include the date, time, and some of the details of their deaths."
6032,Chevalier,812635,PG-13,Music;Drama;History,2023,"The illegitimate son of an African slave and a French plantation owner, Joseph Bologne rises to improbable heights in French society as a celebrated violinist-composer and fencer, complete with an ill-fated love affair and a falling out with Marie Antoinette and her court."
6033,L.A. Story,2107,PG-13,Comedy;Fantasy;Romance,1991,"With the help of a talking freeway billboard, a ""wacky weatherman"" tries to win the heart of an English newspaper reporter, who is struggling to make sense of the strange world of early-90s Los Angeles."
6034,Malum,1094403,R,Horror,2023,A rookie police officer willingly takes the last shift at a newly decommissioned police station in an attempt to uncover the mysterious connection between her father's death and a vicious cult.
6036,The International,4959,R,Action;Thriller;Drama;Crime,2009,"An interpol agent and an attorney are determined to bring one of the world's most powerful banks to justice. Uncovering money laundering, arms trading, and conspiracy to destabilize world governments, their investigation takes them from Berlin, Milan, New York and Istanbul. Finding themselves in a chase across the globe, their relentless tenacity puts their own lives at risk."
6037,Rock-A-Doodle,20421,G,Comedy;Family;Animation;Fantasy;Music,1991,"Chanticleer is a foolhardy farm rooster who believes his crows can actually make the sun come up and shine. When the sun rises one morning without Chanticleer's crow, he leaves the farm in disgrace and runs off to become a rock 'n' roll singer. But in his absence, a sinister, sunshine-hating owl prepares to take over."
6038,Son of Batman,251519,PG-13,Animation;Action;Adventure,2014,"Batman learns he has a violent, unruly pre-teen son, secretly raised by the terrorist group known as The League of Assassins."
6039,The Monster Squad,13509,PG-13,Comedy;Action;Fantasy,1987,"Count Dracula adjourns to Earth, accompanied by Frankenstein's Monster, the Wolfman, the Mummy, and the Gillman. The uglies are in search of a powerful amulet that will grant them power to rule the world. Our heroes - the Monster Squad are the only ones daring to stand in their way."
6040,Mulholland Falls,10990,R,Drama;Mystery;Thriller;Crime,1996,"In 1950s Los Angeles, a special crime squad of the LAPD investigates the murder of a young woman."
6041,The Clan of the Cave Bear,13853,R,Adventure;Drama,1986,"Natural changes have the clans moving. Iza, medicine woman of the ""Clan of the Cave Bear"" finds little Ayla from the ""others""' clan - tradition would have the clan kill Ayla immediately, but Iza insists on keeping her. When the little one finds a most needed new cave, she's allowed to stay - and thrive."
6042,Raymond & Ray,869025,R,Drama;Comedy,2022,"Half brothers Raymond and Ray reunite when their estranged father dies—and discover that his final wish was for them to dig his grave. Together, they process who they’ve become as men, both because of their father and in spite of him."
6043,Three Identical Strangers,489988,PG-13,Documentary,2018,"New York, 1980. Three complete strangers accidentally discover that they're identical triplets, separated at birth. The 19-year-olds' joyous reunion catapults them to international fame, but also unlocks an extraordinary and disturbing secret that goes beyond their own lives – and could transform our understanding of human nature forever."
6044,Criminal Activities,334527,R,Thriller;Crime;Drama,2015,Four young men make a risky investment together that gets them into trouble with the mob.
6045,Casper: A Spirited Beginning,39346,PG,Adventure;Family;Comedy;Fantasy,1997,"Before he met and befriended the other ghouls at Applegate Manor, friendly ghost Casper meets young Chris Carson, a lonely kid who decides to teach Casper how to be a proper ghost."
6046,Casper: A Spirited Beginning,39346,PG,Adventure;Family;Comedy;Fantasy,1997,"Before he met and befriended the other ghouls at Applegate Manor, friendly ghost Casper meets young Chris Carson, a lonely kid who decides to teach Casper how to be a proper ghost."
6047,WarHunt,697799,R,Action;Horror;Thriller;War;Fantasy,2022,"1945. A U.S. military cargo plane loses control and violently crashes behind enemy lines in the middle of the German black forest. Major Johnson sends a squad of his bravest soldiers on a rescue mission to retrieve the top-secret material the plane was carrying, led by Sergeants Brewer and Walsh. They soon discover hanged Nazi soldiers and other dead bodies bearing ancient, magical symbols. Suddenly their compasses fail, their perceptions twist and straying from the group leads to profound horrors as they are attacked by a powerful, supernatural force."
6050,Winter's Bone,39013,R,Drama;Mystery,2010,"After discovering her father put their house up for his bail bond and then disappeared, 17-year-old Ree Dolly must confront the local criminal underworld and the harsh Ozark wilderness in order to to track down her father and save her family."
6053,Mara,514277,R,Crime;Horror;Thriller,2018,"Criminal psychologist Kate Fuller is assigned to the murder of a man who has seemingly been strangled in his sleep by his wife and the only witness is their eight-year-old daughter, Sophie. As Kate digs into the mystery of an ancient demon which kills people in their sleep, she experiences the same petrifying symptoms as all previous victims and spirals through a chilling nightmare to save herself and Sophie before she dares fall asleep again."
6054,The Secrets We Keep,615115,R,Thriller;History;Drama,2020,"In post-World War II America, a woman, rebuilding her life in the suburbs with her husband, kidnaps her neighbor and seeks vengeance for the heinous war crimes she believes he committed against her."
6055,About a Boy,245,PG-13,Drama;Comedy;Romance,2002,"Will Freeman is a good-looking, smooth-talking bachelor whose primary goal in life is avoiding any kind of responsibility. But when he invents an imaginary son in order to meet attractive single moms, Will gets a hilarious lesson about life from a bright, but hopelessly geeky 12-year-old named Marcus. Now, as Will struggles to teach Marcus the art of being cool, Marcus teaches Will that you're never too old to grow up."
6057,Wild Things: Diamonds in the Rough,17124,R,Crime;Drama;Mystery,2005,"Two young women will stop at nothing for one to gain a $4 million inheritance of two priceless diamonds, while two detectives try to thwart their plans, but find complications abound."
6059,Wild Things: Diamonds in the Rough,17124,R,Crime;Drama;Mystery,2005,"Two young women will stop at nothing for one to gain a $4 million inheritance of two priceless diamonds, while two detectives try to thwart their plans, but find complications abound."
6060,Great Expectations,121674,PG-13,Drama;Romance,2012,"Miss Havisham, a wealthy spinster who wears an old wedding dress and lives in the dilapidated Satis House, asks Pip's Uncle Pumblechook to find a boy to play with her adopted daughter Estella. Pip begins to visit Miss Havisham and Estella, with whom he falls in love, then Pip—a humble orphan—suddenly becomes a gentleman with the help of an unknown benefactor."
6061,Inconceivable,433630,R,Crime;Drama;Thriller,2017,"A mother looks to escape her abusive past by moving to a new town where she befriends another mother, who grows suspicious of her."
6062,Marvin's Room,9819,PG-13,Drama,1996,A leukemia patient attempts to end a 20-year feud with her sister to get her bone marrow.
6063,The Big Hit,9448,R,Action;Adventure;Comedy;Thriller;Crime;Drama,1998,"Affable hit man Melvin Smiley is constantly being scammed by his cutthroat colleagues in the life-ending business. So, when he and his fellow assassins kidnap the daughter of an electronics mogul, it's naturally Melvin who takes the fall when their prime score turns sour. That's because the girl is the goddaughter of the gang's ruthless crime boss. But, even while dodging bullets, Melvin has to keep his real job secret from his unsuspecting fiancée, Pam."
6064,The Cider House Rules,1715,PG-13,Drama,1999,"Homer is an orphan who was never adopted, becoming the favorite of orphanage director Dr. Larch. Dr. Larch imparts his full medical knowledge on Homer, who becomes a skilled, albeit unlicensed, physician. But Homer yearns for a self-chosen life outside the orphanage. What will Homer learn about life and love in the cider house? What of the destiny that Dr. Larch has planned for him?"
6065,A Bigger Splash,324807,R,Drama;Thriller;Romance,2015,"An American couple, Paul and Marianne, spend their vacation in Italy and experience trouble when Marianne invites a former lover and his teenage daughter to visit, which leads to jealousy and dangerous sexual scenarios."
6067,Horsemen,18476,R,Crime;Drama;Horror;Mystery;Thriller,2009,A recently widowed detective still grieving over his wife's death discovers a shocking connection between himself and the suspects in a serial killing spree linked to the Four Horsemen of the Apocalypse.
6068,28 Days,10468,PG-13,Comedy;Drama,2000,"After getting into a car accident while drunk on the day of her sister's wedding, Gwen Cummings is given a choice between prison or a rehab center. She chooses rehab, but is extremely resistant to taking part in any of the treatment programs they have to offer, refusing to admit that she has an alcohol addiction."
6069,The 51st State,1613,R,Thriller;Action;Comedy;Crime,2001,An American master chemist plans to score big on a once in a lifetime drug deal. All does not go as planned and he is soon entangled in a web of deceit.
6070,The Weather Man,6963,R,Comedy;Drama,2005,"A Chicago weather man, separated from his wife and children, debates whether professional and personal success are mutually exclusive."
6072,Goon: Last of the Enforcers,336890,R,Comedy,2017,"During a pro lockout, Doug ""The Thug"" Glatt is injured and must choose whether to defend his team against a dangerous new enemy, or be there for his wife as she prepares to give birth to his daughter."
6073,F/X,9873,R,Action;Thriller,1986,"A movies special effects man is hired by a government agency to help stage the assassination of a well known gangster. When the agency double cross him, he uses his special effects to trap the gangster and the corrupt agents."
6074,Unfriend,368031,R,Horror;Thriller,2016,"Enjoying college life as a popular student, Laura shares everything with her more than 800 friends on Facebook. But one day, after accepting a friend request from a  social outcast named Marina, Laura’s life is cursed..."
6075,Some Kind of Wonderful,15143,PG-13,Drama;Romance,1987,"A young tomboy, Watts, finds her feelings for her best friend, Keith, run deeper than just friendship when he gets a date with the most popular girl in school."
6076,The Fabulous Baker Boys,10875,R,Comedy;Drama;Music;Romance,1989,"The lives of two struggling musicians, who happen to be brothers, inevitably change when they team up with a beautiful, up-and-coming singer."
6077,Flora & Ulysses,621876,PG,Family;Adventure;Comedy;Fantasy,2021,"When Flora rescues a squirrel she names Ulysses, she is amazed to discover he possesses unique superhero powers, which take them on an adventure of humorous complications that ultimately change Flora's life--and her outlook--forever."
6078,Casualties of War,10142,R,Drama;History;War,1989,"During the Vietnam War, a soldier finds himself the outsider of his own squad when they unnecessarily kidnap a female villager."
6079,2012: Ice Age,59722,PG,Action;Adventure;Science Fiction,2011,"A volcanic eruption in Iceland sends a glacier towards North America, causing everything in it's path to freeze. A family man struggles to escape the onslaught of the coming ice age."
6080,Manhattan Murder Mystery,10440,PG,Comedy;Mystery,1993,A middle-aged couple suspects foul play when their neighbor's wife suddenly drops dead.
6081,The Cold Light of Day,77948,PG-13,Action;Thriller;Mystery,2012,"After his family is kidnapped during their sailing trip in Spain, a young Wall Street trader is confronted by the people responsible: intelligence agents looking to recover a mysterious briefcase."
6082,Basic,10782,R,Action;Drama;Mystery;Thriller;Crime,2003,An ex-Army Ranger turned DEA agent investigates the mysterious disappearance of a feared sergeant and his elite trainees during a routine training exercise in the jungles of Panama amid a hurricane.
6083,Stockholm,437626,R,Crime;Comedy,2019,"Based on the extraordinary true story of the European city’s 1973 bank heist and hostage crisis that was documented in the 1974 New Yorker article “The Bank Drama” by Daniel Lang. The events grasped the world’s attention when the hostages bonded with their captors and turned against the authorities, giving rise to the psychological phenomenon known as “Stockholm Syndrome.”"
6084,Daddy Day Camp,14144,PG,Family;Comedy,2007,"Seeking to offer his son the satisfying summer camp experience that eluded him as a child, the operator of a neighborhood daycare center opens his own camp, only to face financial hardship and stiff competition from a rival camp."
6085,Into the Grizzly Maze,244316,R,Action;Horror;Thriller,2015,Two estranged brothers reunite at their childhood home in the Alaskan wild. They set out on a two-day hike and are stalked by an unrelenting grizzly bear.
6086,Morgan,377264,R,Horror;Science Fiction;Thriller,2016,A corporate risk-management consultant must determine whether or not to terminate an artificial being's life that was made in a laboratory environment.
6087,Nine Months,11472,PG-13,Romance;Comedy,1995,"When he finds out his longtime girlfriend is pregnant, a commitment-phobe realizes he might have to change his lifestyle for better or much, much worse."
6088,Apostle,424121,R,Horror;Mystery;Thriller;Drama,2018,"In 1905, a man travels to a remote island in search of his missing sister who has been kidnapped by a mysterious religious cult."
6090,Firebreather,50337,PG,Fantasy;Animation;Action;Thriller;Family,2010,"It's not easy being a teen like Duncan. His mom wants him to pay more attention to his homework, while his dad - a 120-foot-tall monster known as a Kaiju - wants him to become the next King of All Monsters. When these worlds collide, Duncan must use his human wits and his Kaiju powers - including super strength, agility and the ability to breathe fire - to protect his family and friends from a giant monster rampage."
6091,Felon,13012,R,Crime;Drama;Thriller,2008,A family man convicted of killing an intruder must cope with life afterward in the violent penal system.
6092,Apostle,424121,R,Horror;Mystery;Thriller;Drama,2018,"In 1905, a man travels to a remote island in search of his missing sister who has been kidnapped by a mysterious religious cult."
6094,Firebreather,50337,PG,Fantasy;Animation;Action;Thriller;Family,2010,"It's not easy being a teen like Duncan. His mom wants him to pay more attention to his homework, while his dad - a 120-foot-tall monster known as a Kaiju - wants him to become the next King of All Monsters. When these worlds collide, Duncan must use his human wits and his Kaiju powers - including super strength, agility and the ability to breathe fire - to protect his family and friends from a giant monster rampage."
6095,Felon,13012,R,Crime;Drama;Thriller,2008,A family man convicted of killing an intruder must cope with life afterward in the violent penal system.
6096,Leprechaun in the Hood,18011,R,Horror;Comedy,2000,"When Butch, Postmaster P, and Stray Bullet loot the local hip-hop mogul's studio to fund their demo album, the threesome unwittingly ends up with the secret of Mack Daddy's success: a magical flute. Their gigs instantly turn golden but a blood-thristy Leprechaun and an angry Mack Daddy are hot on their trail, leaving a wake of destruction tainted by politically incorrect limericks."
6097,Running Scared,7304,R,Action;Crime;Drama;Thriller,2006,"A low-ranking thug is entrusted by his boss to dispose of a gun that killed corrupt cops, but things spiral out of control when the gun ends up in wrong hands."
6098,American Heist,250066,R,Action,2014,"Two brothers, both with troubled paths, find themselves in the middle of one last bank job."
6099,Lake Placid 3,44037,R,Horror;Action;Science Fiction;Thriller,2010,"A game warden moves his family to Lake Placid, once the site of deadly crocodile attacks. Locals assure him the crocs are gone, but his mischievous young son finds a few baby crocs and begins feeding them. They quickly grow into very big adults and start attacking the game warden's family and nearby town."
6100,Waking Life,9081,R,Animation;Drama,2001,"Waking Life is about a young man in a persistent lucid dream-like state. The film follows its protagonist as he initially observes and later participates in philosophical discussions that weave together issues like reality, free will, our relationships with others, and the meaning of life."
6101,The Forger,255157,R,Thriller;Crime;Drama,2014,"A former child art prodigy and second generation petty thief arranges to buy his way out of prison to spend time with his ailing son, only to be forced to alter his plans and commit one more job for the man who financed his release."
6103,The Seeker: The Dark Is Rising,2274,PG,Adventure;Drama;Fantasy;Family;Thriller,2007,A boy's life is turned upside down when he learns that he is the last of a group of immortal warriors who have dedicated their lives to fighting the forces of the dark.
6104,Wimbledon,11823,PG-13,Comedy;Romance,2004,"British tennis player Peter clutches to an embarrassingly low position on the tennis-ranking ladder. Handed a wild card for Wimbledon, he expects it to be his final bow."
6105,Pitch Black,2787,R,Thriller;Science Fiction;Action,2000,"When their ship crash-lands on a remote planet, the marooned passengers soon learn that escaped convict Riddick isn't the only thing they have to fear. Deadly creatures lurk in the shadows, waiting to attack in the dark, and the planet is rapidly plunging into the utter blackness of a total eclipse. With the body count rising, the doomed survivors are forced to turn to Riddick with his eerie eyes to guide them through the darkness to safety. With time running out, there's only one rule: Stay in the light."
6106,Spy Game,1535,R,Action;Crime;Thriller,2001,"On the day of his retirement, a veteran CIA agent learns that his former protégé has been arrested in China, is sentenced to die the next morning in Beijing, and that the CIA is considering letting that happen to avoid an international scandal."
